"id","status","title","size","description","price","sale_price","availability","condition","material","brand","keywords","additional_image_link","google product category","link2","link","image_link","gtin","mpn","fb_product_category","item_group_id"
"1","active","Articol no 1","20X24","(Reproduction only/seulement) Peinture acrylique fabriqué avec un nouveau médium collaboratif qui se resource dans l'intelligence artificielle (IA). 
Cet ajout à mon processus me permet d'explorer au préalable de l'acte de peindre, des lieux créatifs. 
Ces derniers ne sont accessible que dans le nouveau paradigme de traitement de données avec l'IA.","400 CAD","300 CAD","in stock","new","Acrylic, Canvas","ap_articol_no_01__20x24__220320","","https://guillaumeisabelle.com/img/acrylics-painting/additional/ap_articol_no_01__20x24__220320__CHEVALET.jpg","5710","https://guillaumeisabelle.com/l/1.htm","https://www.artpal.com/jgisabelleart?i=242823-1","https://guillaumeisabelle.com/img/acrylics-painting/mn/ap_articol_no_01__20x24__220320.jpg","","ap_articol_no_01__20x24__220320","999","ap_articol_no_01__20x24__220320"
"2","active","Laax no 2 / 2017","24x36","Acrylic Painting produite pendant le cours ""Créer sa vie"". Exercise de créer en 30 minutes.Made during the course ""Life as Art"". 
30 min creating exercise.","600 CAD","500 CAD","in stock","new","Acrylic, Canvas","ap_laa_xno_2__24x36__191109","","","5710","https://guillaumeisabelle.com/l/2.htm","https://www.artpal.com/jgisabelleart?i=242823-2","https://guillaumeisabelle.com/img/acrylics-painting/mn/ap_laa_xno_2__24x36__191109.jpg","","ap_laa_xno_2__24x36__191109","999",""
"3","active","Keep Talking","16x20","Mouvement","200 CAD","160 CAD","in stock","new","Acrylic, Canvas","ap__talking__16x20__191110","","","5710","https://guillaumeisabelle.com/l/3.htm","https://www.artpal.com/jgisabelleart?i=242823-3","https://guillaumeisabelle.com/img/acrylics-painting/mn/ap__talking__16x20__191110.jpg","","ap__talking__16x20__191110","999",""
"4","active","Liberté enragé no 2 2019","24x36","Acrylic Painting (ORIGINAL SOLD)","900 CAD","850 CAD","in stock","new","Acrylic, Canvas","ap__unrooter_anger_no_2__24x36__191109_IMG_0028","","","5710","https://guillaumeisabelle.com/l/4.htm","https://www.artpal.com/jgisabelleart?i=242823-4","https://guillaumeisabelle.com/img/acrylics-painting/mn/ap__unrooter_anger_no_2__24x36__191109_IMG_0028.jpg","","ap__unrooter_anger_no_2__24x36__191109_IMG_0028","999",""
"5","active","Wirly 2019","16x20","Acrylic Painting","160 CAD","150 CAD","in stock","new","Acrylic, Canvas","ap__wirly__16x20__191110","","","5710","https://guillaumeisabelle.com/l/5.htm","https://www.artpal.com/jgisabelleart?i=242823-5","https://guillaumeisabelle.com/img/acrylics-painting/mn/ap__wirly__16x20__191110.jpg","","ap__wirly__16x20__191110","999",""
"6","active","Russ Art Life  no 3","16x20","Petite oeuvre acrylique abstraite douce créé pendant un de mes cours . Exercise de créer en 5-15 minutes.  Sweet little peace of work made during one of my art course.  Exercise of creating in 5-15  minutes. ","200 CAD","160 CAD","in stock","new","Acrylic, Canvas","ap__russia__laa_no_3__16x20__191110","","","5710","https://guillaumeisabelle.com/l/6.htm","https://www.artpal.com/jgisabelleart?i=242823-6","https://guillaumeisabelle.com/img/acrylics-painting/mn/ap__russia__laa_no_3__16x20__191110.jpg","","ap__russia__laa_no_3__16x20__191110","999",""
"7","active","Bluenlite","16x20","Acrylique","200 CAD","150 CAD","in stock","new","Acrylic, Canvas","ap__bluenlite__16x20__220408","","","5710","https://guillaumeisabelle.com/l/7.htm","https://www.artpal.com/jgisabelleart?i=242823-7","https://guillaumeisabelle.com/img/acrylics-painting/mn/ap__bluenlite__16x20__220408.jpg","","ap__bluenlite__16x20__220408","999",""
"9","active","Anger no 4 2009","36x60","Anger no 4 - Collection of experimentation with Angry thought liberated on the painting.  That experiment is part of the libertat collection but differ in the initial motivation for the move.  It is an attempt for a Metaphorical representation of differenciation of the reactive orientation where your reaction to circumstances are the driving forces instead of your aspiration and values (refered as freedom in this metaphor).","1080 CAD","1080 CAD","in stock","new","Acrylic, Canvas","ap__anger_no_4__36x60__2009","","","5710","https://guillaumeisabelle.com/l/9.htm","https://www.artpal.com/jgisabelleart?i=242823-9","https://guillaumeisabelle.com/img/acrylics-painting/mn/ap__anger_no_4__36x60__2009__DSC_1465-1468HDR2Jpeg02.jpg","","ap__anger_no_4__36x60__2009","999",""
"8","active","Articol no 1 v2","20X24","Peinture acrylique fabriqué avec un nouveau médium collaboratif qui se resource dans l'intelligence artificielle (IA). 
Cet ajout à mon processus me permet d'explorer au préalable de l'acte de peindre, des lieux créatifs. 
Ces derniers ne sont accessible que dans le nouveau paradigme de traitement de données avec l'IA.","400 CAD","300 CAD","in stock","new","Acrylic, Canvas","ap_articol_no_01__20x24__220320_v2","anger,metaphor,libertat,acrylic,abstract","","5710","https://guillaumeisabelle.com/l/8.htm","https://www.artpal.com/jgisabelleart?i=242823-8","https://guillaumeisabelle.com/img/acrylics-painting/mn/ap_articol_no_01__20x24__220320.jpg","","ap_articol_no_01__20x24__220320_v2","999","ap_articol_no_01__20x24__220320"